,Property,Optimized_Weight
0,Henry_CO2,0.07852272932171205
1,Qst_CO2,0.3283969243053546
2,Selectivity,0.12278219501051107
3,Qreg_TSA,0.11628883084692529
4,Qreg_VSA,0.35400932051549705
