MOF_id,MOF_name,VSA_Score,TSA_Score,CO2_VSA_capacity,CO2_TSA_capacity,CO2N2_actual_selectivity,PE_VSA_parasitic_energy,CO2_TSA_regen_heat,N2_ads_0.75bar,VSA_Rank,TSA_Rank
500,KAVXAI_clean,85.94275616321518,86.10867226954628,4.227348172499999,4.081818914099999,24.65218364230944,15.34687977099348,43.68308500745419,0.9125189054,1,1
302,BICPOT_clean,73.56312148521958,81.08384179988248,3.3375359556,3.7190598493,22.19843503985339,17.64644977956921,54.64787812806979,1.0957275709,2,2
37,AFITEP_clean,70.85535557646526,72.22499794652587,3.0756375447,3.0186809318,21.63177234913769,16.21620509691735,52.80537511629603,0.7933165329,3,3
675,YIWBIR_clean,68.52043043354976,70.3422416547598,2.9131886444,2.8790944023,25.81078816428543,15.93726508046288,54.66270449989027,0.6310872063,4,4
432,GIVHIC_clean,67.23255902794374,69.17408692975366,2.9434938048,2.9167508633,17.91531882919604,16.7711445343331,53.77443689240263,0.9222323305,5,5
589,PEWXUL_clean,61.63474373555905,65.00530697569165,2.5943976201,2.6361869961,23.98043987839275,16.39209010846549,58.17510802070368,0.6339243359,7,6
381,EREFEN01_SL,61.76956546879298,63.52436549256903,2.6044948733,2.5715005652,22.97889538407085,16.16130747319447,56.887172785635,0.6439953537,6,7
477,ITIWAK_clean,61.27258727957342,63.37461209710631,2.58899813,2.5721818425,21.82080954950395,16.39454580023762,57.77500537714239,0.6710947624,9,8
428,GIJXAA_clean,61.454205154113154,61.982225554257056,2.6089427762,2.5182959994,19.94340488417835,15.85500840440787,53.41988418681289,0.7081677883,8,9
650,WIPZEC_clean,60.16550898133567,61.03662628518324,2.5536773992,2.4797606503,19.43984063577083,16.21339211608827,55.57825022404253,0.7269366068,10,10
380,EQERIC_clean,59.81284224331067,60.13058401218143,2.539112893,2.4396222249,18.99456879257837,16.10829412133017,55.05331761214417,0.7309012512,11,11
459,HUWPIA_clean,58.86086920702787,59.71914003122294,2.4965928491,2.4228717298,19.1136440540159,16.45212478100671,57.11757307355585,0.7429583662,12,12
355,CUYYAX_clean,58.12375849720082,59.470856527847275,2.416498402,2.367840067,24.3013003419072,15.84623490147435,57.94732980810237,0.5547829121,13,13
242,BARZUR_clean,57.334386680483064,57.72936624665006,2.4056056263,2.3119083069,20.11096136294148,15.81415017975084,55.55848146703892,0.6489545468,14,14
534,LIFWOO_clean,56.428697867387626,57.555735437976566,2.3989725893,2.3383879256,17.04529855103842,16.81077434633106,58.33332045971751,0.7959942553,15,15
641,VAKBIU_clean,52.96907166408322,54.83397355210686,2.1746318988,2.1531037642,22.846364884968,15.94309120395374,60.6604286453596,0.5216016435,16,16
582,OTIPAK_clean,52.93251985631936,53.15073155289791,2.2455023273,2.1436626204,15.51402651497664,16.91399162127845,59.25542156825392,0.822068384,17,17
584,OWIHIN_clean,52.12576300711671,52.75557875784684,2.1292264876,2.0507817009,22.99251017539736,15.3052716143128,58.21211073718037,0.4880614559,18,18
576,OHAKIS_clean,51.10380997142001,52.388381316818865,2.1534159491,2.1023209576,15.96545034833573,17.1676952900378,61.62854018270578,0.7917741506,19,19
695,c6ce00126b_c6ce00126b2_clean,51.0603703553755,51.693081547397036,2.1407714746,2.0597840235,16.4512173214977,16.75900595590728,60.82634558558822,0.7384144753,20,20
142,AROFAP_clean,49.79309286883416,50.52520351656049,2.0568691689,1.9821577485,18.16831979623819,16.26028183566898,61.22302265122651,0.6233249757,21,21
376,ENCDBZ01_clean,49.179915663796756,50.34699021037491,1.9653316922,1.9157808199,26.86937167188605,15.3848701632586,62.99082347080102,0.3951277724,24,22
188,AVETAY_clean,49.520307130181436,50.18648615070247,2.0146668848,1.9386470634,21.46490696789554,15.63511049558206,60.84309387985595,0.5086197638,22,23
25,ADAXEK_clean,49.161249534436855,50.17054331239801,2.0018961903,1.9421644239,21.15052387406449,16.03367620156791,63.00109381768293,0.5270761691,25,24
585,OWIJEL_clean,49.45512726533043,50.09279979200403,2.0024479441,1.9254883123,22.43984300734808,15.29549473105466,59.79444842852109,0.4706422313,23,25
12,ACOGAB_clean,48.85252998215576,49.73717034354341,1.9986606161,1.9322994573,19.45039039922733,16.08576761874614,62.29556144433896,0.5624179164,26,26
387,ETEPID_clean,46.498065685137824,48.440222782660044,1.9402183056,1.9207826836,15.2745340708904,17.4179119903627,63.90760015875004,0.7847849114,27,27
437,GUNZIA_clean,45.0065568168399,47.31235520015236,1.7926174601,1.7973737806,22.15058862624864,16.34956925046704,68.0237233684691,0.4729673042,30,28
13,ACOGEF_clean,45.64021758849458,46.654618474101824,1.8394716973,1.7807563923,19.51270484488519,16.08302435347296,65.20731315169377,0.5157912835,28,29
356,DACZUF_clean,43.29890328012079,46.32487654598801,1.6526513504,1.7014159901,31.33675592200035,15.95903622498822,72.08893618190729,0.3193796586,36,30
460,HUWSUN_clean,45.34170121723705,45.72501397163355,1.8479286351,1.7573196344,16.81495050344402,15.99189311222453,62.38035857295813,0.5874685607,29,31
536,LIRVAK_charged,44.54113436824197,45.21469935658023,1.7929775901,1.7176200872,18.45483518741476,15.97594821257894,64.86429084930019,0.5253415622,32,32
565,NAWWUG_clean,42.631199484187796,45.18094105868823,1.6309516726,1.6551441585,28.56947072609138,15.96248598302636,72.14565664227494,0.3390465902,37,33
186,AVESOL_clean,44.757891869396964,45.03006336564347,1.8146063279,1.7191345135,17.30490758562505,15.93024606027851,63.15560242504446,0.5651159739,31,34
110,APACAX_clean,44.34214281133856,44.94632406012477,1.7652624424,1.6878035284,20.44424383672818,15.63885096187489,65.05573541626275,0.4655408053,33,35
337,CEJZAU_clean,44.06870805035266,44.87835885959952,1.7701650766,1.701379292,18.34680180174808,16.00977682617836,65.36024879918395,0.5204094693,34,36
647,WAVRES_clean,43.75399062938402,44.513344574824536,1.7574544203,1.6861700654,18.1171718505538,16.07346201078493,65.76137075309977,0.5279675648,35,37
498,KANDIO_clean,42.30024362568434,43.69413965812208,1.639562832,1.6037993572,23.79056811300682,15.85868716373009,70.61771341652904,0.3869914284,39,38
308,BIHBEB_clean,41.39571511307138,43.341625509034614,1.7201123066,1.7003631939,13.13913240604597,18.2669429027092,68.91267796859769,0.8352970311,43,39
395,EZUCIM_clean,42.591893636935644,43.33687342628993,1.7049995748,1.6327565881,17.43969937179941,16.06485737892788,66.30187734429052,0.527695937,38,40
516,KUKPUD_clean,41.765010083397044,42.45077763475146,1.6403236532,1.5668794133,19.56003199122053,15.54189824444396,66.88901161117474,0.4430410521,40,41
328,CANRUG_clean,41.40151460830532,42.25891401305618,1.6414084758,1.575135951,17.72866530428314,16.04044748171066,67.96608446502432,0.4983998889,42,42
192,AVIMOI_clean,40.61772981390527,41.78682057590046,1.6011132537,1.5506171843,18.11821353777297,16.37875383007482,70.82841999124265,0.4942277103,47,43
354,CUXFIL_clean,40.63968629140588,41.717661833250915,1.5935245635,1.5393340192,18.93169313158167,16.23655989354018,71.08575076003862,0.468523704,46,44
560,MOTMAK_clean,41.45428087033219,41.702251887399946,1.6653018199,1.567952208,15.85399808871765,16.17788031311212,66.63931740591006,0.5674968942,41,45
615,SANHUN_clean,40.54859875791033,41.626368902252366,1.5896453949,1.5353698484,18.66389820042677,16.18109694972588,70.94386793711666,0.4648546482,48,46
67,AKEDIF_clean,40.835532861874505,41.380606695865886,1.6462371743,1.5623565616,14.85869507536357,16.41647981829085,67.01132762447241,0.5963926255,44,47
625,SURHEU_clean,40.055046813057736,41.138578816292764,1.5593018361,1.5059378029,19.33563799061345,16.16760996203731,72.00628948105928,0.4489621265,51,48
680,YOCCIE_clean,37.901183996158885,41.13166267608898,1.4899122805,1.5378072183,16.7706151123829,17.19815892263667,72.36135926322365,0.5684263652,57,49
609,REXGAE_clean,40.714087586354744,40.98891876832035,1.6335055071,1.5370122217,15.28897253706348,16.22070505741522,67.19533921871363,0.5701480863,45,50
482,IXUQUO_clean,38.89551745283485,40.927698341032574,1.5501497422,1.5387012675,15.44788894878306,17.25621150516317,72.50765248647919,0.5931252283,55,51
435,GOSKEG_clean,40.25913397852129,40.813959324654185,1.6022207209,1.5200119236,16.11555085069984,16.2906158550927,68.96451213128756,0.5408724135,50,52
119,APEBEE_clean,39.519967317218274,40.75593303745867,1.5365623509,1.4904492667,18.70941210513043,16.24477785408303,72.56142915059773,0.4514345825,52,53
