MOF_id,MOF_name,VSA_Score,TSA_Score,CO2_VSA_capacity,CO2_TSA_capacity,CO2N2_actual_selectivity,PE_VSA_parasitic_energy,CO2_TSA_regen_heat,N2_ads_0.75bar,VSA_Rank,TSA_Rank
190,AVIVOQ_clean,30.98308121832148,31.27931920951031,0.8322188477,0.7945744695,12.8,17.066,107.6,0.3533,73,71
185,AVIPOL_clean,30.796978193072793,30.486158642596006,0.8312067636,0.7692292287,12.3,16.647,106.57,0.3608,74,75
160,ATEYUV_clean,30.739304754679814,30.2587480980811,0.8612237255,0.7898092267000001,10.7,17.337,104.64,0.433,75,77
82,ALUJOH_clean,30.48007261605388,30.51040943490116,0.7608384204,0.7187636031,15.7,16.181,115.47,0.2608,76,74
184,AVIPAX_clean,30.32228864238809,30.18468399348666,0.8225760869,0.7662945908,11.8,17.098,108.43,0.3779,77,78
136,ARUYES_clean,30.316031332159778,30.383307541765465,0.7581978439,0.7172010977000001,15.4,16.227,115.48,0.2656,78,76
92,AMILOY_clean,29.56140099643565,30.029444627456314,0.769737675,0.7399750112000001,13.2,17.488,115.75,0.3384,79,79
131,ARAFIJ_clean,29.250151067170943,29.073091305459165,0.7606236154,0.7046319412,12.5,16.639,114.66,0.3253,80,81
122,AQOLUP_clean,29.143841497693852,29.05690651287921,0.7566807123,0.7044308265000001,12.5,16.907,116.6,0.3249,81,82
219,AZIXUD_clean,29.07601347289443,29.00702181393927,0.7454974707,0.6947929498000001,12.9,16.661,116.96,0.3105,82,85
129,ARADEE_clean,28.99753418417684,28.81317602489174,0.7469873309999999,0.6910356937,12.6,16.555,116.19,0.3162,83,86
94,AMIMAL_clean,28.59659148230087,29.048621556092424,0.7345875848,0.7040697577999999,12.8,17.656,120.44,0.3338,84,84
65,AJOXAA_clean,28.55268289941899,28.536603224731355,0.6885492977000001,0.6441953631,14.6,16.304,125.06,0.2535,85,88
95,AMIMEP_clean,28.540884551915006,29.0564267719825,0.7274813057,0.700177763,13.1,17.671,121.33,0.3281,86,83
35,AFEJOK_ion_b,28.422282155026007,28.395698226465438,0.7324118383,0.6818987542,12.1,16.859,118.25,0.3253,87,89
153,ASOYOY_clean,28.347858986524045,28.31466648189023,0.7324234731,0.6813856498,12.0,17.096,119.49,0.331,88,90
93,AMILUE_clean,28.23879593112577,28.721803991320545,0.7175390686,0.688729668,12.9,17.71,122.72,0.3282,89,87
27,ADOCEC_clean,28.059745034621454,28.18409065151824,0.6083884602999999,0.5779957708,17.8,15.911,138.22,0.1847,90,91
159,ATEYOP_clean,27.81865586015227,27.484333706726964,0.7546268032,0.6868884646,10.0,17.52,116.08,0.4036,91,95
103,ANOMOG_clean,27.773716218086435,28.00312709632715,0.7163721831,0.6751003534,11.6,17.409,121.29,0.3375,92,93
133,ARAGOR_clean,27.657296832677723,27.590862208863005,0.675071954,0.6259428958,13.1,16.555,126.85,0.2776,93,94
225,BAKJOO_clean,27.433901526320327,27.391095994215785,0.6956275558999999,0.644036945,11.7,16.917,123.24,0.319,94,97
