,Henry_CO2,Qst_CO2,Selectivity,Qreg_TSA,Qreg_VSA,TOPSIS_score
lcd,-0.5413292589763177,-0.521772345301757,-0.6113063407181054,0.6244461420932009,0.8093200916730328,-0.6161955691367456
pld,-0.6110007639419404,-0.6360580595874713,-0.7503437738731855,0.5844155844155844,0.7188693659281894,-0.6684491978609626
pld_path,-0.521466768525592,-0.493353705118411,-0.5880825057295646,0.6094728800611153,0.7946524064171123,-0.5957219251336898
asa_m2_g,-0.5724980901451489,-0.6681436210847975,-0.7136745607333842,0.5920550038197097,0.7876241405653169,-0.6822001527883881
asa_m2_cm3,-0.5330786860198625,-0.6586707410236822,-0.6666157372039725,0.5501909854851031,0.7258976317799846,-0.6470588235294117
void_fraction,-0.5575248281130634,-0.6220015278838809,-0.7008403361344537,0.5981665393430099,0.814514896867838,-0.6663101604278074
pore_vol_cm3_g,-0.5318563789152024,-0.6097784568372803,-0.6773109243697478,0.5605805958747135,0.7754010695187165,-0.6430863254392665
density_g_cm3,0.5278838808250573,0.6116119174942705,0.6641711229946523,-0.5547746371275782,-0.759205500381971,0.6372803666921313
uc_volume_A3,-0.4979373567608862,-0.5413292589763177,-0.5715813598166538,0.576776165011459,0.7442322383498854,-0.5850267379679144
n_atoms_uc,-0.43265563815341823,-0.4893748048512691,-0.5064975721562808,0.5026755258828407,0.6804771185232736,-0.5155176013615994
n_elements,0.13857978800436355,0.15336163205816233,0.19485158070916572,-0.11607107092244269,-0.14160334701536784,0.1619283825893412
n_metal_atoms,-0.43105654855809583,-0.33592467640887785,-0.3477771719553378,0.557535152349925,0.5960557628759198,-0.44836743021147807
n_C,-0.48400974800515767,-0.5631223119377111,-0.5834742867985034,0.5303755253195942,0.6889066979194499,-0.5785775710425233
n_H,-0.3109443709628149,-0.405225775294256,-0.4119820974287568,0.34073360946493153,0.5188548293744946,-0.39647326707456204
n_N,-0.18702861635050944,-0.20546134319558937,-0.19211350651466944,0.19338472905570944,0.2418500884328593,-0.2026010924782494
n_O,-0.23867043522507664,-0.21382171381989512,-0.2457262450067948,0.3575454913301116,0.48086877534101236,-0.27118851508864744
n_Zn,-0.19396554266229554,-0.15784147362554535,-0.18085043479544993,0.1928150946038003,0.11803597080161046,-0.17993007634865377
n_Cu,-0.461449811322775,-0.43604348368272466,-0.43308925953853283,0.5000516734735492,0.5211251390354515,-0.4273777595264285
n_Ni,-0.05431243035722346,-0.1206110522415583,-0.020226698202000463,0.055061567327667926,-0.029216341847333998,-0.05655984126855685
n_Co,0.26407761302952626,0.3082145286344612,0.28292258823163335,-0.21101413022359333,-0.21746109542431416,0.2536632846283619
has_oms,-0.5523635365717472,-0.44856367735021085,-0.45597795300889205,0.6116777418411966,0.5375349852543849,-0.5301207095957037
