MOF_name,n_C,formula,non_mof_flag,hard_flag,hard_reason
ALUKIC_clean,84,C84H48O24N12Ce4,False,False,Valid
ALUKOI_clean,84,C84H48O24N12Sm4,False,False,Valid
ALUKUO_clean,84,C84H48O24N12Eu4,False,False,Valid
ALULAV_clean,84,C84H48O24N12Gd4,False,False,Valid
ALULEZ_clean,336,C336H192O96N48Ce12,False,True,Atomic overlap (min_dist=0.556Å); Isolated atoms (64)
ALULID_clean,84,C84H48O24N12Ce4,False,True,Atomic overlap (min_dist=0.741Å)
ALURAB_clean,152,C152H136O36N28Co6,False,False,Valid
AMAFOK_clean,30,C30H18N12O12Cu3,False,True,Atomic overlap (min_dist=0.687Å); Isolated atoms (6)
AMAGAX_clean,120,C120H72N48O48Cu12,False,True,Atomic overlap (min_dist=0.700Å); Isolated atoms (22)
AMILOY_clean,240,C240H192O64N32Zn16,False,False,Valid
AMILUE_clean,120,C120H96O32N16Zn8,False,False,Valid
AMIMAL_clean,240,C240H192O64N32Zn16,False,False,Valid
AMIMEP_clean,120,C120H96O32N16Zn8,False,False,Valid
AMODUC_clean,96,C96H60O24Tb4,False,False,Valid
AMOFAK_clean,192,C192H120O48Eu8,False,False,Valid
AMUWIP_charged,352,C352H256N32Cu16S16W4I4,False,True,Isolated atoms (4)
AMUWUB_clean,74,C74H42O24Cu6N6,False,True,Atomic overlap (min_dist=0.783Å)
AMUXAI_clean,84,C84H52O24N8Cu6,False,True,Atomic overlap (min_dist=0.763Å)
ANAWIX_clean,64,C64O40F32H8In8,False,False,Valid
ANAWOD_clean,96,C96O60F48In12H12,False,False,Valid
ANOMOG_clean,204,C204O80H68Cu12N12,False,True,Atomic overlap (min_dist=0.757Å); Overcoordinated N (4)
ANOMUM_clean,60,C60O24H20Cu4N4,False,True,Atomic overlap (min_dist=0.756Å); Isolated atoms (12)
ANONAT_manual,60,C60O24H20Cu4N4,False,True,Atomic overlap (min_dist=0.762Å); Isolated atoms (8)
ANUGIA_clean,84,C84H42O24Cu6,False,False,Valid
ANUGOG_clean,112,C112H56O32Cu8,False,True,Atomic overlap (min_dist=0.650Å); Isolated atoms (8)
APACAX_clean,192,C192O96H72Zn12,False,True,Isolated atoms (8)
APARAM_clean,90,C90H54F18O12N6Mn3,False,False,Valid
APAYIB_clean,168,C168H88O48Eu8,False,False,Valid
APAYOH_clean,168,C168H88O48Tb8,False,False,Valid
APAYUN_clean,168,C168H88O48La8,False,False,Valid
APAZAU_clean,216,C216H120O48Eu8,False,False,Valid
APAZEY_clean,216,C216H120O48Tb8,False,False,Valid
APAZIC_clean,216,C216H120O48La8,False,False,Valid
APAZOI_clean,120,C120H56O48La8,False,False,Valid
APEBEE_clean,32,C32H28N16O6B2Cd2,False,True,Atomic overlap (min_dist=0.774Å)
AQEGUY_clean,80,C80H74O50S8Ba4,False,True,Atomic overlap (min_dist=0.507Å)
AQEQES_clean,40,C40O32H8Co4,False,False,Valid
AQEQIW_clean,40,C40O32H8Zn4,False,False,Valid
AQIXUV_clean,168,C168H142O36N6Ni3,False,True,Atomic overlap (min_dist=0.630Å); Isolated atoms (20)
AQOLUP_clean,768,C768N576H384Co96Cl24,False,False,Valid
AQOMEA01_clean,768,C768N576H384Co96Cl24,False,False,Valid
AQOMEA_clean,768,C768N576H384Co96Cl24,False,False,Valid
AQOTIK_clean,24,C24N6Pt1Fe1,False,True,Overcoordinated N (2)
AQUCOF_clean,50,C50H30N20O20Cu12,False,False,Valid
AQUDAS_clean,50,C50H30N20O20Cu12,False,False,Valid
AQUDIB_clean,72,C72O54Ni18H18,False,False,Valid
ARADEE_clean,96,C96O48H40Cd12N12,False,False,Valid
ARAFEF_clean,40,C40H32N24Cu4,False,False,Valid
ARAFIJ_clean,40,C40H32N24Cu4,False,False,Valid
ARAFOP_clean,40,C40H32N24Cu4,False,False,Valid
ARAGOR_clean,96,C96O64H32S16Cu8Ca8,False,False,Valid
AROFAP_clean,99,C99H72O36Cd6,False,True,Atomic overlap (min_dist=0.639Å); Isolated atoms (23)
AROFET_clean,66,C66H48O24Cd4,False,True,Atomic overlap (min_dist=0.631Å); Isolated atoms (12)
ARUYES_clean,64,C64H32O32Na4Bi4,False,False,Valid
ARUYUH01_clean,0,O48P16H16Zn12,True,True,Non-MOF (0 Carbons)
ARUYUH_clean,0,O48P16H16Zn12,True,True,Non-MOF (0 Carbons)
ASACON_clean,80,C80O72Zn16H16,False,False,Valid
ASADAA_clean,80,C80H44O36Cd8N8,False,False,Valid
ASECUY_clean,240,C240H120O64N24U8Na4,False,False,Valid
ASEKAM_clean,36,C36O24H20N16Cd8,False,False,Valid
ASINAT_clean,180,C180H116O24N16Zn6,False,True,Atomic overlap (min_dist=0.600Å); Isolated atoms (28)
ASINEX_clean,1440,C1440H928O192N128Zn48,False,False,Valid
ASINIB_clean,1440,C1440H928O192N128Cu48,False,False,Valid
ASIQEA_clean,104,C104H72N32O16Cu4,False,False,Valid
ASIQIE_clean,104,C104H72N32O16Cu4,False,False,Valid
ASIVAB_clean,336,C336H192O96Cu24N16,False,False,Valid
ASIVEF_clean,368,C368H224O116N32Cu24,False,True,Atomic overlap (min_dist=0.572Å)
ASOHUL_clean,32,C32O20V4,False,False,Valid
ASOSUY_clean,108,C108H72O48Cu12Si6,False,False,Valid
ASOVEL_clean,120,C120H80O16Ca4,False,False,Valid
ASOYOY_clean,352,C352H256N96O32Cd16,False,False,Valid
ASUBIB_clean,48,C48O24H18N6Eu4,False,True,Atomic overlap (min_dist=0.795Å)
ASUWUI_clean,152,C152H92O24N24Zn8,False,True,Atomic overlap (min_dist=0.788Å); Isolated atoms (28)
