Target,Feature,rank_avg,rf_importance,shap_mean_abs,rf_permutation
log10_CO2_TSA_regen_heat,PLD_A,1.3333333333333333,0.16613578422118963,0.06736444,0.2080104236891061
log10_CO2_TSA_regen_heat,void_fraction,1.6666666666666667,0.12834883996744256,0.052790795,0.22464583238583566
log10_CO2_TSA_regen_heat,LFPD_A,4.0,0.10120154545426316,0.025684444,0.13382943366135194
log10_CO2_TSA_regen_heat,LCD_A,4.333333333333333,0.06198129193950477,0.035567973,0.06801491532433573
log10_CO2_TSA_regen_heat,C_mass_frac,4.333333333333333,0.06876645868484337,0.026454762,0.08080855722294393
log10_CO2_TSA_regen_heat,uc_volume_A3,7.333333333333333,0.03710007892197604,0.020282198,0.04440938668391344
log10_CO2_TSA_regen_heat,ligand_MW,9.0,0.03757404189912218,0.019549506,0.02770591196913471
log10_CO2_TSA_regen_heat,ligand_LogP,9.333333333333334,0.03501377335664554,0.017237248,0.03494539707461902
log10_CO2_TSA_regen_heat,ligand_n_aromatic_rings,9.333333333333334,0.030814637608747263,0.024188671,0.0385759708683879
log10_CO2_TSA_regen_heat,ASA_m2_g,9.666666666666666,0.04098696199868245,0.008424898,0.04339354853707148
log10_CO2_TSA_regen_heat,shortest_MM_dist,10.333333333333334,0.025453012952062596,0.02967615,0.02175522923131624
log10_CO2_TSA_regen_heat,O_mass_frac,11.666666666666666,0.03175458411603097,0.012448173,0.026085775616624972
log10_CO2_TSA_regen_heat,ASA_m2_cm3,12.0,0.031225857439300057,0.010743047,0.02885744173660375
log10_CO2_TSA_regen_heat,LCD_PLD_ratio,13.666666666666666,0.03266777993633325,0.008076466,0.020776754100655527
log10_CO2_TSA_regen_heat,pore_vol_cm3_g,14.666666666666666,0.022255775524329155,0.014254888,0.013190337416434338
CO2_Qst_CC_mean,void_fraction,1.0,0.40933220031671935,1.5363086,0.7435282402100623
CO2_Qst_CC_mean,LCD_A,2.6666666666666665,0.06185018149599451,0.3486399,0.061118870649925584
CO2_Qst_CC_mean,PLD_A,3.0,0.046910243634634384,0.5105785,0.053156782579227055
CO2_Qst_CC_mean,ASA_m2_g,5.0,0.04682273661866208,0.3780447,0.030210575092505586
CO2_Qst_CC_mean,LFPD_A,5.333333333333333,0.051559509788838186,0.17430899,0.04674608305328666
CO2_Qst_CC_mean,uc_volume_A3,6.333333333333333,0.036161297803592264,0.29519805,0.0342273410782767
CO2_Qst_CC_mean,pore_vol_cm3_g,8.333333333333334,0.04240119379645657,0.30807045,0.01585142157834456
CO2_Qst_CC_mean,LCD_PLD_ratio,9.333333333333334,0.03448253622838048,0.16668823,0.02591840961500016
CO2_Qst_CC_mean,shortest_MM_dist,10.0,0.024662160693388155,0.22350876,0.02254046052327565
CO2_Qst_CC_mean,ASA_m2_cm3,10.333333333333334,0.028705366987534918,0.11639593,0.02736499449680522
CO2_Qst_CC_mean,O_mass_frac,10.666666666666666,0.019261354204861105,0.23532373,0.017892137266937648
CO2_Qst_CC_mean,C_mass_frac,11.0,0.027318498453349088,0.08634576,0.028743069835131453
CO2_Qst_CC_mean,ligand_MW,13.333333333333334,0.015705690256972764,0.14718439,0.011994712166822463
CO2_Qst_CC_mean,ligand_LogP,15.666666666666666,0.014860501477211739,0.066695444,0.010795126596517945
CO2_Qst_CC_mean,ligand_n_aromatic_rings,17.0,0.012583800357423782,0.028485926,0.012630950286599663
CO2_Qst_CC_1bar,void_fraction,1.0,0.4527127259765035,1.4263914,0.8284132375069515
CO2_Qst_CC_1bar,LCD_A,2.3333333333333335,0.0790901929789359,0.34968665,0.07244480742369458
CO2_Qst_CC_1bar,PLD_A,5.0,0.027267505679635998,0.43593845,0.026189553024117018
CO2_Qst_CC_1bar,LFPD_A,5.0,0.06087319038177185,0.14263617,0.04833627108926557
CO2_Qst_CC_1bar,ASA_m2_g,6.0,0.037584776740308475,0.31104052,0.024438302934122292
CO2_Qst_CC_1bar,pore_vol_cm3_g,6.333333333333333,0.05285055665492036,0.22066699,0.022431839165518285
CO2_Qst_CC_1bar,uc_volume_A3,6.666666666666667,0.026530575764432646,0.253718,0.025219168509490596
CO2_Qst_CC_1bar,LCD_PLD_ratio,9.333333333333334,0.029668223132844552,0.1198314,0.022310195736285433
CO2_Qst_CC_1bar,ASA_m2_cm3,9.666666666666666,0.02645559498491131,0.10223876,0.024692230637827606
CO2_Qst_CC_1bar,shortest_MM_dist,10.666666666666666,0.01632020768626903,0.16595413,0.013673467884169722
CO2_Qst_CC_1bar,C_mass_frac,10.666666666666666,0.02615116086529685,0.04927123,0.02764052365388977
CO2_Qst_CC_1bar,O_mass_frac,11.0,0.014750576781264093,0.1914458,0.013344950275651645
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,13.0,0.012248674868280908,0.13357958,0.012761936626665448
CO2_Qst_CC_1bar,ligand_MW,15.0,0.012674175896756304,0.06728808,0.009991873493664472
CO2_Qst_CC_1bar,ligand_LogP,15.666666666666666,0.011961548391548796,0.061717927,0.010911562025803656
log10_CO2N2_actual_selectivity,void_fraction,1.0,0.40693278391095417,0.06785358,0.6427514011184534
log10_CO2N2_actual_selectivity,LCD_A,2.3333333333333335,0.0802772778181449,0.020644521,0.07508172692012696
