Target,Model,R2_mean,R2_std,MAE_mean,RMSE_mean
log10_CO2_TSA_regen_heat,SVR,0.33294653449346157,0.10823653542555738,0.18747490458797106,0.2618183424474138
log10_CO2_TSA_regen_heat,RandomForest,0.49353941355809805,0.16095533718854677,0.1471954907519551,0.2282424857167697
log10_CO2_TSA_regen_heat,ExtraTrees,0.5277316402561649,0.1571286806762559,0.13706200871825885,0.22033288321265115
log10_CO2_TSA_regen_heat,XGBoost,0.47859682921561086,0.16700064881122637,0.1460137016278303,0.23093308549684094
log10_CO2_TSA_regen_heat,Ridge,0.25277966058669726,0.1811220549268471,0.19973485723525664,0.2761265582086566
CO2_Qst_CC_mean,SVR,0.5176637026473354,0.10580848898047958,1.8494842384004202,2.7754414012717707
CO2_Qst_CC_mean,RandomForest,0.661017826143885,0.13532553636416195,1.595844216624149,2.2909844224248377
CO2_Qst_CC_mean,ExtraTrees,0.6927587731661872,0.14165847847567686,1.436687129039116,2.1671755927654948
CO2_Qst_CC_mean,XGBoost,0.6714414047736778,0.1408270555975469,1.556663405984113,2.247330554555014
CO2_Qst_CC_mean,Ridge,0.5139821859310015,0.20383268564124082,2.0502757432279237,2.726449475068845
CO2_Qst_CC_1bar,SVR,0.5524872821943477,0.08353614061801035,1.6154764084875513,2.4636297845854993
CO2_Qst_CC_1bar,RandomForest,0.686308252082817,0.13586372440610503,1.3675598533163273,2.011180542992453
CO2_Qst_CC_1bar,ExtraTrees,0.7098585394300335,0.13570473503605696,1.250166550170068,1.926702460530628
CO2_Qst_CC_1bar,XGBoost,0.696325258847929,0.1510134192792097,1.3290372801300623,1.9626457988697474
CO2_Qst_CC_1bar,Ridge,0.5350980519246726,0.20597742556145435,1.8023385844939372,2.424779284475433
log10_CO2N2_actual_selectivity,SVR,0.4950011006736699,0.08312888963146468,0.11182684725888489,0.14600337926938267
log10_CO2N2_actual_selectivity,RandomForest,0.6932341360581407,0.12896170869247184,0.07712895281422942,0.11129457159078615
log10_CO2N2_actual_selectivity,ExtraTrees,0.7160341613513589,0.1311411213625064,0.06972240284702538,0.10648774588663609
log10_CO2N2_actual_selectivity,XGBoost,0.6951653144928842,0.1471088608795056,0.0741505857964104,0.1100751010073728
log10_CO2N2_actual_selectivity,Ridge,0.5560891357213457,0.17065156505894152,0.10000387723523196,0.1334774961752882
log10_CO2N2_Henry_selectivity,SVR,0.3097252031878407,0.23791978231621513,0.15034548889563168,0.23171956411802525
log10_CO2N2_Henry_selectivity,RandomForest,0.5276924397603185,0.1521153838640701,0.11396712663828627,0.1907750429189483
log10_CO2N2_Henry_selectivity,ExtraTrees,0.5214312257372484,0.22933753775859125,0.1096518149201319,0.1900249395201895
log10_CO2N2_Henry_selectivity,XGBoost,0.5334287978468366,0.14089934482899275,0.11429307815565404,0.18902649608412328
