Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
CO2_Qst_CC_mean,N_mass_frac,0.013501216,0.033045694,0.7099438880262203
CO2_Qst_CC_mean,O_mass_frac,0.23532373,0.37023365,0.6113931824052878
CO2_Qst_CC_mean,catenation,0.027294554,0.03257651,0.5441110844710568
CO2_Qst_CC_mean,O_coord_ratio,0.023624461,0.049802482,0.6782589248748696
CO2_Qst_CC_mean,shortest_MM_dist,0.22350876,0.39430302,0.6382251430309813
CO2_Qst_CC_mean,ligand_MW,0.14718439,0.25538754,0.6343898670349636
CO2_Qst_CC_mean,ligand_LogP,0.066695444,0.14795737,0.6892869097911354
CO2_Qst_CC_mean,ligand_n_heavy,0.0031826713,0.0076320544,0.7057094924238235
CO2_Qst_CC_mean,ligand_n_aromatic_rings,0.028485926,0.072221905,0.717142904484305
CO2_Qst_CC_mean,ligand_n_carboxylate,0.024185043,0.06897201,0.7403841601132616
CO2_Qst_CC_mean,ligand_n_N_hetero,0.019261638,0.02828869,0.5949210345628014
CO2_Qst_CC_mean,ligand_n_halogen,0.005933762,0.012780519,0.68292868632869
CO2_Qst_CC_mean,ligand_n_amino,0.006813885,0.015619423,0.6962603385948991
CO2_Qst_CC_mean,ligand_TPSA,0.029482018,0.0696171,0.7024997184321276
CO2_Qst_CC_mean,metal_Co,0.009577561,0.01886838,0.6633065733087807
CO2_Qst_CC_mean,metal_Cu,0.027035858,0.047565956,0.6375978414129975
CO2_Qst_CC_mean,metal_Mn,0.034029387,0.06678568,0.6624573235254904
CO2_Qst_CC_mean,metal_Ni,0.015839238,0.021048402,0.5706085669839606
CO2_Qst_CC_mean,metal_Other,0.024825608,0.05079448,0.6717061810299726
CO2_Qst_CC_mean,metal_Zn,0.009318137,0.020704161,0.6896261581006493
CO2_Qst_CC_mean,metal_Zr,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_Other,0.0069009922,0.014224375,0.6733314846490734
CO2_Qst_CC_mean,topo_dia,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_error,0.096989594,0.15429124,0.6140191181089059
CO2_Qst_CC_mean,topo_lim,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_lvt,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_ntt,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_pcu,0.014145923,0.028548704,0.6686720469843955
CO2_Qst_CC_mean,topo_pto,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_pts,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_tbo,0.0,0.0,0.0
CO2_Qst_CC_mean,topo_tsy,0.0,0.0,0.0
CO2_Qst_CC_1bar,LCD_A,0.34968665,0.5313431,0.6030932752120752
CO2_Qst_CC_1bar,PLD_A,0.43593845,0.7495573,0.6322733137450661
CO2_Qst_CC_1bar,LFPD_A,0.14263617,0.25788063,0.6438696777167301
CO2_Qst_CC_1bar,LCD_PLD_ratio,0.1198314,0.20086023,0.6263344716170773
CO2_Qst_CC_1bar,pore_vol_cm3_g,0.22066699,0.3667655,0.6243534309118037
CO2_Qst_CC_1bar,ASA_m2_cm3,0.10223876,0.30749303,0.7504739125160488
CO2_Qst_CC_1bar,ASA_m2_g,0.31104052,0.4380114,0.5847543957558539
CO2_Qst_CC_1bar,NASA_m2_cm3,0.014360256,0.039645463,0.7340974887858525
CO2_Qst_CC_1bar,NASA_m2_g,0.08682319,0.12091517,0.5820550911181547
